
2024/02/18 (10:47:12) | ===> btop++ v.1.3.0
2024/02/18 (10:47:12) | WARNING: ROCm SMI: Dynamic loading only supported for version 5 and 6

2024/02/18 (10:57:48) | ===> btop++ v.1.3.2
2024/02/18 (10:57:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/18 (10:58:29) | ===> btop++ v.1.3.2
2024/02/18 (10:58:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/18 (10:58:31) | ===> btop++ v.1.3.2
2024/02/18 (10:58:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/18 (11:24:23) | ===> btop++ v.1.3.2
2024/02/18 (11:24:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/19 (09:31:36) | ===> btop++ v.1.3.2
2024/02/19 (09:31:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/19 (11:35:45) | ===> btop++ v.1.3.2
2024/02/19 (11:35:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/19 (18:51:43) | ===> btop++ v.1.3.2
2024/02/19 (18:51:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (21:03:30) | ===> btop++ v.1.3.2
2024/02/20 (21:03:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (21:03:32) | ===> btop++ v.1.3.2
2024/02/20 (21:03:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/21 (09:45:27) | ===> btop++ v.1.3.2
2024/02/21 (09:45:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/21 (09:45:28) | ===> btop++ v.1.3.2
2024/02/21 (09:45:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/27 (22:01:33) | ===> btop++ v.1.3.2
2024/02/27 (22:01:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (11:08:52) | ===> btop++ v.1.3.2
2024/02/28 (11:08:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/01 (11:31:01) | ===> btop++ v.1.3.2
2024/03/01 (11:31:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/02 (15:01:35) | ===> btop++ v.1.3.2
2024/03/02 (15:01:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/11 (21:18:48) | ===> btop++ v.1.3.2
2024/03/11 (21:18:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/11 (21:22:55) | ===> btop++ v.1.3.2
2024/03/11 (21:22:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/11 (21:24:18) | ===> btop++ v.1.3.2
2024/03/11 (21:24:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/16 (22:28:49) | ===> btop++ v.1.3.2
2024/03/16 (22:28:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/18 (00:43:20) | ===> btop++ v.1.3.2
2024/03/18 (00:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
